State/UT,cereal,cereal substitutes,gram,pulses and pulse products*,sugar,salt,milk and milk products,vegetables,fruits (fresh),fruits (dry),"egg, fish & meat",edible oil,spices,"beverages, processed food#, etc.",food: total (1-14) ,"pan, tobacco & intoxicants",fuel and light,toilet articles,other household consumables,education,medical (hospitalization),medical (non- hospitalization),conveyance,consumer services excluding conveyance&,entertainment,rent,other taxes & cesses,clothing & bedding$,footwear,durable goods,non-food: total (16-30),total expenditure (15+31)
Karnataka,4.78,0,0.24,2.03,0.74,0.08,5.48,4.88,3.25,1.51,5.4,2.31,3.21,11.16,45.08,4.21,5.45,2.85,2.85,2.96,2.73,3.34,8.55,5.45,1.69,1.05,0.4,4.72,0.86,7.83,54.92,100
Kerala,3.17,0.19,0.23,1.36,0.54,0.05,3.92,3.83,3.64,0.77,9.41,1.81,2.89,8.52,40.32,1.49,5.79,1.97,1.71,2.2,3.68,6.66,11.38,5.79,1.79,1.27,0.22,4.41,0.79,10.54,59.68,100
Madhya Pradesh,4.64,0.06,0.28,2.56,1.11,0.05,9.73,5.92,2.49,1.18,2.1,3.09,3.43,7.89,44.52,6.34,4.81,3.02,2.49,3.24,1.74,4.73,8.69,5.37,0.67,0.23,0.16,6.37,1.21,6.4,55.48,100
Maha-rashtra ,4.76,0.14,0.24,2.02,1.06,0.11,6.28,5.33,2.25,1.72,3.92,2.79,3.3,8.84,42.74,2.3,6.79,2.76,2.35,3.41,3.83,4.2,9.29,5.99,1.03,1.35,0.65,5.55,1.02,6.73,57.26,100
Manipur,7.28,-,0.17,0.81,0.38,0.1,3.11,6.32,2.72,0.79,11.32,2.47,3.05,10.05,48.59,5.91,6.26,3.36,1.93,4.28,0.69,2.86,8.68,4.25,1.21,0.26,0.23,4.55,1.26,5.68,51.41,100
Meghalaya,4.68,-,0.07,1.01,0.69,0.13,3.31,9.47,2.68,0.45,12.92,3,1.91,9.98,50.31,9.04,5.71,3.01,2.43,3.02,0.39,1.37,6.3,4.57,0.99,0.37,0.21,6.25,1.64,4.39,49.69,100
Mizoram,2.14,-,0.01,0.7,0.3,0.11,3.26,7.38,2.59,1,10.99,2.31,2.46,13.69,46.97,6.81,5.87,3.53,2.73,1.58,0.53,2.59,6.13,6.01,1.35,1.89,0.19,4.96,2.07,6.77,53.03,100
Nagaland,5.02,0.04,0.04,0.77,0.34,0.08,3.33,6.74,2.76,0.5,13.72,1.29,1.99,9.71,46.32,5.29,5.51,3.91,2.74,2.74,0.19,2.4,6.04,5.21,1,0.61,0.11,8.18,3.08,6.67,53.68,100
Odisha,7.49,0,0.19,2.58,0.67,0.14,3.02,8.24,2.76,0.48,6.18,2.87,3.64,10.29,48.54,3.96,7.7,3.17,2.68,2.63,1.79,4.95,6.57,4.09,1.16,0.46,0.18,6.54,0.88,4.7,51.46,100
Punjab ,2.56,-,0.36,1.24,1.01,0.08,14.02,4.97,1.99,0.92,1.14,1.81,2.02,10.32,42.43,1.78,8.18,3.14,2.34,4.22,3.24,5.32,9.47,5.58,0.91,0.7,0.07,5.48,1.59,5.54,57.57,100
Rajasthan,4.41,0.01,0.2,0.82,1.06,0.08,15.1,4.65,1.9,1.09,1.25,2.08,3.16,10.34,46.15,3.65,6.79,2.51,2.34,3.41,1.67,3.9,8.22,5.63,0.44,0.21,0.07,5.39,1.12,8.49,53.85,100
Sikkim,3.01,0.03,0.1,1.02,0.43,0.05,7.65,6.49,1.97,1.25,6.48,2.01,2.28,17.41,50.18,8.79,2.94,2.42,2.7,1.81,0.36,1.96,4.86,5.32,1.76,1.3,0.16,5.59,1.63,8.22,49.82,100
Tamil Nadu,4.35,0.01,0.17,1.57,0.37,0.07,4.99,4.71,2.94,1.04,6.37,1.46,2.99,13.23,44.27,4.18,4.6,2.71,2.67,3.29,2.59,4.07,10.57,5.41,1.42,1.63,0.2,4.72,0.64,7.03,55.73,100
Telangana,5.15,0,0.09,1.71,0.46,0.11,5.55,4.83,3.14,1.21,6.66,2.35,3.09,9.05,43.4,7.29,4.22,2.39,2,3.37,2.5,4.4,8.05,5.25,1.72,0.39,0.26,6.4,0.73,7.62,56.6,100
Tripura,4,0,0.03,0.83,0.26,0.06,4.28,6.67,3.32,0.96,11.91,2.16,3.41,8.76,46.66,5.6,5.32,2.78,2.54,4.22,1.59,5.77,5.59,3.72,1.45,0.21,0.16,7.83,1.11,5.44,53.34,100
Uttar Pradesh,4.52,0,0.36,2.06,1,0.13,11.06,6.26,2.39,1.36,3.04,3.26,3.39,8.42,47.25,3.77,6.22,3.04,2.28,3.79,2.52,4.74,6.91,5.62,0.64,0.14,0.05,5.84,1.03,6.17,52.75,100
Uttarakhand,4.38,-,0.3,1.99,0.89,0.09,9.32,5.17,1.99,1.38,2.51,2.33,3.23,10.24,43.83,4.8,5.67,3.33,2.24,3.99,1.79,3.91,7.35,6.32,0.91,0.88,0.07,6.72,1.33,6.86,56.17,100
West Bengal,6.46,0,0.19,1.37,0.63,0.15,3.81,7.5,2.8,0.78,10.16,3.36,3.99,10.33,51.54,3.48,7.12,3,1.95,3.3,1.38,6.45,4.22,4.15,1.24,0.18,0.14,6.25,0.79,4.81,48.46,100
